Part;Value;Device;Package;Description
C1;22pF;C-EU025-024X044;C025-024X044;CAPACITOR, European symbol
C2;22pF;C-EU025-024X044;C025-024X044;CAPACITOR, European symbol
C3;0.1uF;C-EU025-024X044;C025-024X044;CAPACITOR, European symbol
C4;0.1uF;C-EU025-024X044;C025-024X044;CAPACITOR, European symbol
C5;0.33uF;CPOL-EUUD-4X5,8;UD-4X5,8_NICHICON;POLARIZED CAPACITOR, European symbol
C6;0.1uF;C-EU025-024X044;C025-024X044;CAPACITOR, European symbol
C7;1uF;C-EU025-024X044;C025-024X044;CAPACITOR, European symbol
C8;0.1uF;C-EU025-024X044;C025-024X044;CAPACITOR, European symbol
C9;1uF;C-EU025-024X044;C025-024X044;CAPACITOR, European symbol
C10;4.7uF;CPOL-EUUD-6,3X8,8;UD-6,3X5,8_NICHICON;POLARIZED CAPACITOR, European symbol
C11;47uF;CPOL-EUUD-6,3X8,8;UD-6,3X5,8_NICHICON;POLARIZED CAPACITOR, European symbol
D1;GF1;GF1;SMA-DO214AC;DIODE
D2;GF1;GF1;SMA-DO214AC;DIODE
D3;GF1;GF1;SMA-DO214AC;DIODE
D4;GF1;GF1;SMA-DO214AC;DIODE
D5;GF1;GF1;SMA-DO214AC;DIODE
D6;GF1;GF1;SMA-DO214AC;DIODE
D7;GF1;GF1;SMA-DO214AC;DIODE
D8;GF1;GF1;SMA-DO214AC;DIODE
HWB;;JP1E;JP1;JUMPER
ICSP1;;ARDUINO_CONN-ICSP;CONN-2X03;Arduino ICSP I/O Header
IR_RCV;38kHz;TSOP38238;TSOP382;Vishay Semiconductor TSOP32838 - 38kHz IR Receiver
L1;600Ω/500mA;INDUCTOR-0805-3.3UH;805;Inductors
MOT_L;1X2-3.5MM;1X2-3.5MM;1X2-3.5MM;3.5mm Terminal block
MOT_R;1X2-3.5MM;1X2-3.5MM;1X2-3.5MM;3.5mm Terminal block
PWR_IN;1X2-3.5MM;1X2-3.5MM;1X2-3.5MM;3.5mm Terminal block
PWR_LED;;LEDCHIP-LED0805;CHIP-LED0805;LED
Q1;16MHz;XTAL/S;QS;CRYSTAL
R1;10k;RR1206;R1206;RESISTOR, European symbol
R2;22;RR1206;R1206;RESISTOR, European symbol
R3;22;RR1206;R1206;RESISTOR, European symbol
R4;1k;RR1206;R1206;RESISTOR, European symbol
R5;1k;RR1206;R1206;RESISTOR, European symbol
R6;1k;RR1206;R1206;RESISTOR, European symbol
R7;10k;RR1206;R1206;RESISTOR, European symbol
RX_LED;;LEDCHIP-LED0805;CHIP-LED0805;LED
SERVO;;MA03-1;MA03-1;PIN HEADER
SLOT_L;;MA03-1;MA03-1;PIN HEADER
SLOT_R;;MA03-1;MA03-1;PIN HEADER
SW_RESET;;10-XX;B3F-10XX;OMRON SWITCH
TX_LED;;LEDCHIP-LED0805;CHIP-LED0805;LED
U1;7805TV;7805TV;TO220V;Positive VOLTAGE REGULATOR
U2;L298;L298;MULTIWATT-15;DUAL FULL-BRIDGE DRIVER
U3;ATMEGA32U4-AU;ATMEGA32U4-AU;TQFP44;http://www.ladyada.net/library/eagle
ULTR_SENSOR;;MA04-1;MA04-1;PIN HEADER
USB;;USBMINIB;USB-MINIB;USB Connectors
